DIN933|mm;M1.6;M2;M2.5;M3;(M3.5);M4;M5;M6;(M7);M8;M10;M12;(M14);M16;(M18);M20
d;1.60;2.00;2.50;3.00;3.50;4.00;5.00;6.00;7.00;8.00;10.00;12.00;14.00;16.00;18.00;20.00
P;0.35;0.40;0.45;0.50;0.60;0.70;0.80;1.00;1.00;1.25;1.50;1.75;2.00;2.00;2.50;2.50
a;1.05;1.20;1.35;1.50;1.80;2.10;2.40;3.00;;;;;;;;
b;;;;;;;;;;;;;;;;
da;2.00;2.60;3.10;3.60;4.10;4.70;5.70;6.80;;;;;;;;
ds;;;;;;;;;;;;;;;;
dw;2.40;3.20;4.10;4.60;5.10;5.90;6.90;8.90;;;;;;;;
e;3.41;4.32;5.45;6.01;6.58;7.66;8.79;11.05;;;;;;;;
k;1.10;1.40;1.70;2.00;2.40;2.80;3.50;4.00;;;;;;;;
s;3.20;4.00;5.00;5.50;6.00;7.00;8.00;10.00;;;;;;;;
;;;;;;;;;;;;;;;;
l;2.00;3.00;3.00;4.00;5.00;5.00;6.00;6.00;;;;;;;;
;3.00;4.00;4.00;5.00;6.00;6.00;7.00;7.00;;;;;;;;
;4.00;5.00;5.00;6.00;7.00;7.00;8.00;8.00;;;;;;;;
;5.00;6.00;6.00;7.00;8.00;8.00;10.00;10.00;;;;;;;;
;6.00;7.00;7.00;8.00;10.00;10.00;12.00;12.00;;;;;;;;
;7.00;8.00;8.00;10.00;12.00;12.00;14.00;14.00;;;;;;;;
;8.00;10.00;10.00;12.00;14.00;14.00;16.00;16.00;;;;;;;;
;10.00;12.00;12.00;14.00;16.00;16.00;18.00;18.00;;;;;;;;
;12.00;14.00;14.00;16.00;18.00;18.00;20.00;20.00;;;;;;;;
;;16.00;16.00;18.00;20.00;20.00;22.00;22.00;;;;;;;;
;;;18.00;20.00;22.00;22.00;25.00;25.00;;;;;;;;
;;;20.00;22.00;25.00;25.00;28.00;28.00;;;;;;;;
;;;22.00;25.00;28.00;28.00;30.00;30.00;;;;;;;;
;;;25.00;28.00;30.00;30.00;35.00;35.00;;;;;;;;
;;;;30.00;35.00;35.00;40.00;40.00;;;;;;;;
;;;;;;40.00;45.00;45.00;;;;;;;;
;;;;;;45.00;50.00;50.00;;;;;;;;
;;;;;;50.00;55.00;55.00;;;;;;;;
;;;;;;55.00;60.00;60.00;;;;;;;;
;;;;;;60.00;65.00;65.00;;;;;;;;
;;;;;;65.00;70.00;70.00;;;;;;;;
;;;;;;70.00;75.00;75.00;;;;;;;;
;;;;;;;80.00;80.00;;;;;;;;
