Name;DIN;Number;E;sig_u;sig_y;alpha
Titan;Ti6Al4V;3.7164.1;110000;920;870;9E-06
Titan ELI;Ti6Al4V ELI;-;105000;825;760;9E-06
Vetronite;-;-;20000;400;300;1.5E-05
Stainless Steel 1.4401;X5CrNiMo17;1.4401;200000;520;220;1.65E-05
Stainless Steel 1.4305;X10CrNiS18-9;1.4305;200000;500;190;1.6E-05
EN AW-5754 H14;AlMg3;3.3535;70000;240;180;2.37E-05
EN AW-6060 T6;AlMgSi;3.3206;70000;170;140;2.34E-05
EN AW-7075 T7351;AlZn5.5MgCu;3.4365;71000;475;390;2.33E-05
EN AW-6061 T651;AlMg1SiCu;-;68300;290;240;2.34E-05
Vespel;-;-;2413;86;51;4.5E-05
Invar;-;-;137000;537;317;1.64E-06
