DIN931|mm;M1.6;M2;M2.5;M3;(M3.5);M4;M5;M6;(M7);M8;M10;M12;(M14);M16;(M18);M20
d;1.60;2.00;2.50;3.00;3.50;4.00;5.00;6.00;7.00;8.00;10.00;12.00;14.00;16.00;18.00;20.00
P;0.35;0.40;0.45;0.50;0.60;0.70;0.80;1.00;1.00;1.25;1.50;1.75;2.00;2.00;2.50;2.50
a;;;;;;;;;;;;;;;;
b;9.00;10.00;11.00;12.00;13.00;14.00;16.00;18.00;20.00;22.00;26.00;30.00;34.00;38.00;42.00;46.00
da;2.00;2.60;3.10;3.60;4.10;4.70;5.70;6.80;7.80;9.20;11.20;13.70;15.70;17.70;20.20;22.40
ds;1.60;2.00;2.50;3.00;3.50;4.00;5.00;6.00;7.00;8.00;10.00;12.00;14.00;16.00;18.00;20.00
dw;2.40;3.20;4.10;4.60;5.10;5.90;6.90;8.90;9.60;11.60;15.60;17.40;20.50;22.50;25.30;28.20
e;3.41;4.32;5.45;6.01;6.58;7.66;8.79;11.05;12.12;14.38;18.90;21.10;24.49;26.75;30.14;33.53
k;1.10;1.40;1.70;2.00;2.40;2.80;3.50;4.00;4.80;5.30;6.40;7.50;8.80;10.00;11.50;12.50
s;3.20;4.00;5.00;5.50;6.00;7.00;8.00;10.00;11.00;13.00;17.00;19.00;22.00;24.00;27.00;30.00
;;;;;;;;;;;;;;;;
l;12.00;16.00;16.00;20.00;25.00;25.00;25.00;30.00;30.00;35.00;40.00;45.00;50.00;55.00;65.00;65.00
;14.00;18.00;18.00;22.00;28.00;28.00;28.00;35.00;35.00;40.00;45.00;50.00;55.00;60.00;70.00;70.00
;16.00;20.00;20.00;25.00;30.00;30.00;30.00;40.00;40.00;45.00;50.00;55.00;60.00;65.00;75.00;75.00
;;;22.00;28.00;35.00;35.00;35.00;45.00;45.00;50.00;55.00;60.00;65.00;70.00;80.00;80.00
;;;25.00;30.00;;40.00;40.00;50.00;50.00;55.00;60.00;65.00;70.00;75.00;85.00;85.00
;;;;;;;45.00;55.00;55.00;60.00;65.00;70.00;75.00;80.00;90.00;90.00
;;;;;;;50.00;60.00;60.00;65.00;70.00;75.00;80.00;85.00;95.00;95.00
;;;;;;;;;65.00;70.00;75.00;80.00;85.00;90.00;100.00;100.00
;;;;;;;;;70.00;75.00;80.00;85.00;90.00;95.00;110.00;110.00
;;;;;;;;;;80.00;85.00;90.00;95.00;100.00;120.00;120.00
;;;;;;;;;;;90.00;95.00;100.00;110.00;130.00;130.00
;;;;;;;;;;;95.00;100.00;110.00;120.00;140.00;140.00
;;;;;;;;;;;100.00;110.00;120.00;130.00;150.00;150.00
;;;;;;;;;;;;120.00;130.00;140.00;160.00;160.00
;;;;;;;;;;;;;140.00;150.00;170.00;170.00
;;;;;;;;;;;;;;160.00;180.00;180.00
;;;;;;;;;;;;;;;;190.00
;;;;;;;;;;;;;;;;200.00
